Size,Total time,Compute time,Gflops
1000,0.4905549,0.004906,407.701564
1000,0.4843660,0.004844,412.910898
1000,0.3397055,0.003397,588.745251
1000,0.4831126,0.004831,413.982165
1000,0.4557246,0.004557,438.861541
1500,0.7014965,0.007015,962.228607
1500,0.7938672,0.007939,850.268156
1500,0.6526353,0.006526,1034.268297
1500,0.8069050,0.008069,836.529703
1500,0.6762043,0.006762,998.219029
2000,0.14622652,0.014623,1094.192763
2000,0.14112797,0.014113,1133.722819
2000,0.13136991,0.013137,1217.934914
2000,0.13380588,0.013381,1195.762100
2000,0.14297873,0.014298,1119.047567
2500,0.23814468,0.023814,1312.227508
2500,0.23993754,0.023994,1302.422289
2500,0.24702623,0.024703,1265.047845
2500,0.24322821,0.024323,1284.801627
2500,0.23890660,0.023891,1308.042557
3000,0.38791960,0.038792,1392.041031
3000,0.39075718,0.039076,1381.932381
3000,0.37594520,0.037595,1436.379557
3000,0.38296601,0.038297,1410.046808
3000,0.37738724,0.037739,1430.890986
3500,0.58849902,0.058850,1457.096734
3500,0.58361782,0.058362,1469.283443
3500,0.58441809,0.058442,1467.271487
3500,0.58379786,0.058380,1468.830324
3500,0.58240367,0.058240,1472.346491
4000,0.82793992,0.082794,1546.005899
4000,0.82916313,0.082916,1543.725177
4000,0.82807944,0.082808,1545.745418
4000,0.82491946,0.082492,1551.666632
4000,0.83150540,0.083151,1539.376653
4500,0.119322836,0.119323,1527.368994
4500,0.120252454,0.120252,1515.561587
4500,0.118610330,0.118610,1536.544077
4500,0.118774248,0.118774,1534.423523
4500,0.118526186,0.118526,1537.634899
5000,0.163499819,0.163500,1529.053680
5000,0.164361390,0.164361,1521.038487
5000,0.163890858,0.163891,1525.405401
5000,0.163574832,0.163575,1528.352479
5000,0.163499684,0.163500,1529.054943
6000,0.276262853,0.276263,1563.728150
6000,0.276819254,0.276819,1560.585088
6000,0.277936648,0.277937,1554.311039
6000,0.276396741,0.276397,1562.970672
6000,0.276699675,0.276700,1561.259514
7000,0.430236695,0.430237,1594.471155
7000,0.430254285,0.430254,1594.405969
7000,0.429128777,0.429129,1598.587736
7000,0.434225245,0.434225,1579.825236
7000,0.429632727,0.429633,1596.712627
8000,0.629297903,0.629298,1627.210253
8000,0.628116261,0.628116,1630.271438
8000,0.628923054,0.628923,1628.180098
8000,0.629142170,0.629142,1627.613040
8000,0.629768813,0.629769,1625.993506
9000,0.892631033,0.892631,1633.373641
9000,0.890568399,0.890568,1637.156676
9000,0.891214301,0.891214,1635.970157
9000,0.892412149,0.892412,1633.774262
9000,0.893136834,0.893137,1632.448629
10000,1.264794670,1.264795,1581.284336
10000,1.264629304,1.264629,1581.491109
10000,1.261742714,1.261743,1585.109213
10000,1.264129986,1.264130,1582.115781
10000,1.261506517,1.261507,1585.405999
12000,2.136129539,2.136130,1617.879411
12000,2.136995735,2.136996,1617.223630
12000,2.132510354,2.132510,1620.625191
12000,2.135090758,2.135091,1618.666554
12000,2.137949520,2.137950,1616.502152
14000,3.360222723,3.360223,1633.225072
14000,3.366240215,3.366240,1630.305519
14000,3.359607354,3.359607,1633.524225
14000,3.366867451,3.366867,1630.001798
14000,3.352235184,3.352235,1637.116640
16000,5.44739216,5.044739,1623.869867
16000,5.74608252,5.074608,1614.311804
16000,5.50960895,5.050961,1621.869615
16000,5.38233329,5.038233,1625.966775
16000,5.44628070,5.044628,1623.905645
18000,7.191745505,7.191746,1621.859393
18000,7.189304750,7.189305,1622.410011
18000,7.190338381,7.190338,1622.176785
18000,7.203992032,7.203992,1619.102291
18000,7.193523977,7.193524,1621.458417
20000,9.806691555,9.806692,1631.539027
20000,9.860342318,9.860342,1622.661717
20000,9.801398169,9.801398,1632.420163
20000,9.807796262,9.807796,1631.355258
20000,9.803286797,9.803287,1632.105673
